File Definition, /mnt/hgfs/OpenSatKit/cosmos/config/tools/table_manager/cfe_sb_routes.txt
File Binary, /mnt/hgfs/OpenSatKit/cosmos/cfs_kit/file_server/cfe_sb_route.dat

CFE_SB PIPE INFO
Label, Value
REC25_MSG_CNT, 0, 
REC25_APP_NAME, DS, 
REC25_PIPE_NAME, DS_CMD_PIPE, 
REC26_MSG_ID, 0x080E, 
REC26_PIPE_ID, 9, 
REC26_STATE, ENABLED, 
REC26_MSG_CNT, 0, 
REC26_APP_NAME, DS, 
REC26_PIPE_NAME, DS_CMD_PIPE, 
REC27_MSG_ID, 0x080F, 
REC27_PIPE_ID, 9, 
REC27_STATE, ENABLED, 
REC27_MSG_CNT, 0, 
REC27_APP_NAME, DS, 
REC27_PIPE_NAME, DS_CMD_PIPE, 
REC28_MSG_ID, 0x080F, 
REC28_PIPE_ID, 5, 
REC28_STATE, ENABLED, 
REC28_MSG_CNT, 0, 
REC28_APP_NAME, KIT_TO, 
REC28_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC29_MSG_ID, 0x0810, 
REC29_PIPE_ID, 9, 
REC29_STATE, ENABLED, 
REC29_MSG_CNT, 0, 
REC29_APP_NAME, DS, 
REC29_PIPE_NAME, DS_CMD_PIPE, 
REC30_MSG_ID, 0x0810, 
REC30_PIPE_ID, 5, 
REC30_STATE, ENABLED, 
REC30_MSG_CNT, 0, 
REC30_APP_NAME, KIT_TO, 
REC30_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC31_MSG_ID, 0x0880, 
REC31_PIPE_ID, 5, 
REC31_STATE, ENABLED, 
REC31_MSG_CNT, 851, 
REC31_APP_NAME, KIT_TO, 
REC31_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC32_MSG_ID, 0x0881, 
REC32_PIPE_ID, 5, 
REC32_STATE, ENABLED, 
REC32_MSG_CNT, 0, 
REC32_APP_NAME, KIT_TO, 
REC32_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC33_MSG_ID, 0x0882, 
REC33_PIPE_ID, 16, 
REC33_STATE, ENABLED, 
REC33_MSG_CNT, 851, 
REC33_APP_NAME, HK, 
REC33_PIPE_NAME, HK_CMD_PIPE, 
REC34_MSG_ID, 0x0882, 
REC34_PIPE_ID, 11, 
REC34_STATE, ENABLED, 
REC34_MSG_CNT, 851, 
REC34_APP_NAME, LC, 
REC34_PIPE_NAME, LC_CMD_PIPE, 
REC35_MSG_ID, 0x0882, 
REC35_PIPE_ID, 5, 
REC35_STATE, ENABLED, 
REC35_MSG_CNT, 851, 
REC35_APP_NAME, KIT_TO, 
REC35_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC36_MSG_ID, 0x0883, 
REC36_PIPE_ID, 5, 
REC36_STATE, ENABLED, 
REC36_MSG_CNT, 0, 
REC36_APP_NAME, KIT_TO, 
REC36_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC37_MSG_ID, 0x0884, 
REC37_PIPE_ID, 5, 
REC37_STATE, ENABLED, 
REC37_MSG_CNT, 851, 
REC37_APP_NAME, KIT_TO, 
REC37_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC38_MSG_ID, 0x0885, 
REC38_PIPE_ID, 5, 
REC38_STATE, ENABLED, 
REC38_MSG_CNT, 0, 
REC38_APP_NAME, KIT_TO, 
REC38_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC39_MSG_ID, 0x0887, 
REC39_PIPE_ID, 5, 
REC39_STATE, ENABLED, 
REC39_MSG_CNT, 786, 
REC39_APP_NAME, KIT_TO, 
REC39_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC40_MSG_ID, 0x088A, 
REC40_PIPE_ID, 5, 
REC40_STATE, ENABLED, 
REC40_MSG_CNT, 851, 
REC40_APP_NAME, KIT_TO, 
REC40_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC41_MSG_ID, 0x088B, 
REC41_PIPE_ID, 5, 
REC41_STATE, ENABLED, 
REC41_MSG_CNT, 0, 
REC41_APP_NAME, KIT_TO, 
REC41_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC42_MSG_ID, 0x088C, 
REC42_PIPE_ID, 5, 
REC42_STATE, ENABLED, 
REC42_MSG_CNT, 0, 
REC42_APP_NAME, KIT_TO, 
REC42_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC43_MSG_ID, 0x088D, 
REC43_PIPE_ID, 5, 
REC43_STATE, ENABLED, 
REC43_MSG_CNT, 0, 
REC43_APP_NAME, KIT_TO, 
REC43_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC44_MSG_ID, 0x088E, 
REC44_PIPE_ID, 5, 
REC44_STATE, ENABLED, 
REC44_MSG_CNT, 0, 
REC44_APP_NAME, KIT_TO, 
REC44_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC45_MSG_ID, 0x0890, 
REC45_PIPE_ID, 5, 
REC45_STATE, ENABLED, 
REC45_MSG_CNT, 844, 
REC45_APP_NAME, KIT_TO, 
REC45_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC46_MSG_ID, 0x0891, 
REC46_PIPE_ID, 5, 
REC46_STATE, ENABLED, 
REC46_MSG_CNT, 0, 
REC46_APP_NAME, KIT_TO, 
REC46_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC47_MSG_ID, 0x0892, 
REC47_PIPE_ID, 5, 
REC47_STATE, ENABLED, 
REC47_MSG_CNT, 0, 
REC47_APP_NAME, KIT_TO, 
REC47_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC48_MSG_ID, 0x0893, 
REC48_PIPE_ID, 5, 
REC48_STATE, ENABLED, 
REC48_MSG_CNT, 0, 
REC48_APP_NAME, KIT_TO, 
REC48_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC49_MSG_ID, 0x0894, 
REC49_PIPE_ID, 5, 
REC49_STATE, ENABLED, 
REC49_MSG_CNT, 0, 
REC49_APP_NAME, KIT_TO, 
REC49_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC50_MSG_ID, 0x0899, 
REC50_PIPE_ID, 5, 
REC50_STATE, ENABLED, 
REC50_MSG_CNT, 851, 
REC50_APP_NAME, KIT_TO, 
REC50_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC51_MSG_ID, 0x089B, 
REC51_PIPE_ID, 5, 
REC51_STATE, ENABLED, 
REC51_MSG_CNT, 851, 
REC51_APP_NAME, KIT_TO, 
REC51_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC52_MSG_ID, 0x089C, 
REC52_PIPE_ID, 5, 
REC52_STATE, ENABLED, 
REC52_MSG_CNT, 851, 
REC52_APP_NAME, KIT_TO, 
REC52_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC53_MSG_ID, 0x089D, 
REC53_PIPE_ID, 9, 
REC53_STATE, ENABLED, 
REC53_MSG_CNT, 0, 
REC53_APP_NAME, DS, 
REC53_PIPE_NAME, DS_CMD_PIPE, 
REC54_MSG_ID, 0x089D, 
REC54_PIPE_ID, 5, 
REC54_STATE, ENABLED, 
REC54_MSG_CNT, 0, 
REC54_APP_NAME, KIT_TO, 
REC54_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC55_MSG_ID, 0x08A4, 
REC55_PIPE_ID, 5, 
REC55_STATE, ENABLED, 
REC55_MSG_CNT, 851, 
REC55_APP_NAME, KIT_TO, 
REC55_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC56_MSG_ID, 0x08A7, 
REC56_PIPE_ID, 5, 
REC56_STATE, ENABLED, 
REC56_MSG_CNT, 851, 
REC56_APP_NAME, KIT_TO, 
REC56_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC57_MSG_ID, 0x08AA, 
REC57_PIPE_ID, 5, 
REC57_STATE, ENABLED, 
REC57_MSG_CNT, 851, 
REC57_APP_NAME, KIT_TO, 
REC57_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC58_MSG_ID, 0x08AD, 
REC58_PIPE_ID, 5, 
REC58_STATE, ENABLED, 
REC58_MSG_CNT, 0, 
REC58_APP_NAME, KIT_TO, 
REC58_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC59_MSG_ID, 0x08B0, 
REC59_PIPE_ID, 5, 
REC59_STATE, ENABLED, 
REC59_MSG_CNT, 0, 
REC59_APP_NAME, KIT_TO, 
REC59_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC60_MSG_ID, 0x08B1, 
REC60_PIPE_ID, 5, 
REC60_STATE, ENABLED, 
REC60_MSG_CNT, 0, 
REC60_APP_NAME, KIT_TO, 
REC60_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC61_MSG_ID, 0x08B2, 
REC61_PIPE_ID, 5, 
REC61_STATE, ENABLED, 
REC61_MSG_CNT, 0, 
REC61_APP_NAME, KIT_TO, 
REC61_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC62_MSG_ID, 0x08B3, 
REC62_PIPE_ID, 5, 
REC62_STATE, ENABLED, 
REC62_MSG_CNT, 0, 
REC62_APP_NAME, KIT_TO, 
REC62_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC63_MSG_ID, 0x08B4, 
REC63_PIPE_ID, 5, 
REC63_STATE, ENABLED, 
REC63_MSG_CNT, 0, 
REC63_APP_NAME, KIT_TO, 
REC63_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC64_MSG_ID, 0x08B5, 
REC64_PIPE_ID, 5, 
REC64_STATE, ENABLED, 
REC64_MSG_CNT, 0, 
REC64_APP_NAME, KIT_TO, 
REC64_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC65_MSG_ID, 0x08B6, 
REC65_PIPE_ID, 5, 
REC65_STATE, ENABLED, 
REC65_MSG_CNT, 0, 
REC65_APP_NAME, KIT_TO, 
REC65_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC66_MSG_ID, 0x08B7, 
REC66_PIPE_ID, 5, 
REC66_STATE, ENABLED, 
REC66_MSG_CNT, 0, 
REC66_APP_NAME, KIT_TO, 
REC66_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC67_MSG_ID, 0x08B8, 
REC67_PIPE_ID, 9, 
REC67_STATE, ENABLED, 
REC67_MSG_CNT, 851, 
REC67_APP_NAME, DS, 
REC67_PIPE_NAME, DS_CMD_PIPE, 
REC68_MSG_ID, 0x08B8, 
REC68_PIPE_ID, 5, 
REC68_STATE, ENABLED, 
REC68_MSG_CNT, 851, 
REC68_APP_NAME, KIT_TO, 
REC68_PIPE_NAME, KIT_TO_PKT_PIPE, 
REC69_MSG_ID, 0x08B9, 
